player;team;no;corsi.plus;corsi.minus;corsi.plus.minus;cf.prevaha;rozdil.vs.tym;corsi.plus.game;corsi.minus.game;indiv.strely;jak.casto.strili
WIDEMAN;USA;6;75;-56;19;57,3%;1,3%;15,0;11,2;11;15%
Zohorna;CZE;79;57;-57;0;50,0%;-10,8%;9,5;9,5;11;19%
Kousal;CZE;90;62;-58;4;51,7%;-6,0%;10,3;9,7;11;18%
TANEV;CAN;8;104;-58;46;64,2%;-0,1%;17,3;9,7;12;12%
WENNBERG;SWE;41;58;-58;0;50,0%;-7,6%;11,6;11,6;8;14%
JURCO;SVK;13;72;-59;13;55,0%;5,2%;12,0;9,8;16;22%
Pastrňák;CZE;88;102;-59;43;63,4%;3,2%;17,0;9,8;30;29%
RIELLY;CAN;44;103;-59;44;63,6%;-0,4%;17,2;9,8;24;23%
Červenka;CZE;10;104;-60;44;63,4%;3,4%;17,3;10,0;24;23%
POKKA;FIN;2;76;-60;16;55,9%;-9,3%;12,7;10,0;18;24%
NYQUIST;SWE;14;62;-61;1;50,4%;-8,0%;12,4;12,2;11;18%
HUDACEK;SVK;79;74;-62;12;54,4%;2,8%;12,3;10,3;20;27%
JAAKOLA;FIN;6;125;-63;62;66,5%;1,6%;20,8;10,5;38;30%
Jarůšek;CZE;96;65;-63;2;50,8%;-8,4%;10,8;10,5;25;38%
MURPHY;USA;5;66;-63;3;51,2%;-4,4%;13,2;12,6;12;18%
HANIFIN;USA;15;78;-64;14;54,9%;-1,0%;15,6;12,8;17;22%
Jeřábek;CZE;5;109;-64;45;63,0%;1,1%;18,2;10,7;10;9%
LARSSON;SWE;5;95;-64;31;59,7%;1,5%;19,0;12,8;19;20%
FRANSSON;SWE;10;67;-65;2;50,8%;-6,0%;13,4;13,0;8;12%
Jordán;CZE;47;98;-65;33;60,1%;-2,2%;16,3;10,8;15;15%
BAKOS;SVK;83;53;-66;-13;44,5%;-5,9%;8,8;11,0;19;36%
Kempný;CZE;6;140;-66;74;68,0%;7,8%;23,3;11,0;24;17%
MURRAY;CAN;27;107;-66;41;61,8%;-3,6%;17,8;11,0;20;19%
